boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance
34,20,14,35,9,1
23,14,40,46,27,1
28,9,26,29,18,3
9,25,2,47,35,10
1,26,14,31,10,4
15,20,12,6,1,1
49,17,44,5,46,4
28,11,14,43,41,8
7,47,16,33,42,7
40,26,17,24,43,9
15,17,10,37,16,9
26,18,41,38,5,10
45,5,48,42,30,9
29,10,16,14,9,1
42,43,38,33,31,3
22,35,9,28,13,5
25,43,30,2,19,9
33,7,8,12,22,5
8,25,4,12,45,2
35,48,33,21,15,1
7,35,48,28,25,1
28,23,24,9,20,4
19,42,32,26,39,6
18,7,21,42,11,3
48,26,31,47,42,8
17,30,6,49,19,2
6,22,19,5,9,5
31,36,9,33,18,2
26,24,49,32,2,5
33,22,44,6,35,2
4,31,49,8,39,9
11,5,25,23,33,5
46,41,38,19,16,9
33,42,27,46,32,7
28,19,49,23,17,7
23,49,5,13,32,2
16,46,12,21,24,2
24,48,20,29,45,3
37,35,31,44,14,7
22,15,19,24,46,3
14,23,21,47,3,3
7,16,17,4,11,10
23,15,38,21,39,4
13,45,4,40,31,3
28,18,22,37,19,2
7,11,5,32,33,5
35,11,13,4,34,1
6,1,39,48,40,6
5,41,3,42,15,7
17,47,30,3,44,3
28,38,2,1,11,6
35,42,49,4,6,9
46,32,22,15,17,8
43,48,42,23,30,7
17,18,25,38,9,9
47,46,7,19,39,5
19,24,45,15,25,3
18,10,6,15,48,4
4,28,38,20,18,1
8,42,22,28,26,2
11,42,22,34,43,4
6,12,4,35,44,3
24,3,35,46,2,8
32,6,35,28,40,7
30,48,37,9,26,8
2,11,42,30,35,6
23,13,27,44,36,6
44,47,5,13,14,8
21,29,20,47,46,7
1,39,2,6,27,4
36,8,31,34,17,7
9,36,5,21,39,5
8,24,33,38,14,5
26,13,10,20,46,1
22,49,26,2,47,2
25,32,6,5,28,4
47,36,20,11,9,2
8,22,26,46,2,1
14,7,43,44,29,5
12,13,26,44,16,6
24,26,2,36,32,7
5,14,42,44,16,9
29,6,12,44,31,6
9,26,30,42,36,4
22,28,3,23,29,2
45,14,39,20,47,8
20,30,35,14,10,9
26,27,41,46,19,4
43,4,17,38,49,8
34,5,33,3,17,10
48,39,29,47,35,7
48,36,14,15,10,3
39,8,9,33,15,10
43,22,12,30,9,4
25,29,47,5,7,1
41,11,19,29,14,9
49,6,24,13,10,3
28,30,43,40,41,7
37,5,9,7,41,6
45,1,33,47,27,8
16,1,31,48,3,6
42,1,19,23,17,9
8,43,1,48,41,7
16,9,19,26,6,9
23,29,18,35,7,4
40,2,35,39,42,9
41,48,42,28,3,6
21,37,12,17,23,7
35,23,26,32,22,5
40,45,24,32,34,1
28,49,5,48,21,2
16,37,8,7,42,8
48,10,46,28,29,9
44,16,4,40,23,3
28,41,38,31,43,10
38,45,5,14,46,1
26,41,5,33,42,7
5,35,37,4,24,2
10,17,33,30,49,4
42,26,21,39,40,5
37,24,19,10,5,6
20,6,30,32,45,4
20,15,27,9,47,7
4,39,26,5,24,4
40,16,21,41,46,2
44,39,7,41,19,1
48,4,25,5,45,7
47,38,17,30,43,5
15,49,37,25,38,8
47,31,12,45,7,10
30,21,6,11,29,4
49,20,7,31,33,4
36,25,22,21,16,9
31,30,6,14,45,8
27,12,10,7,41,1
36,17,30,7,11,5
25,28,42,26,12,10
13,38,31,30,26,1
12,1,33,13,2,9
35,19,8,22,46,2
16,11,25,32,14,9
48,14,2,23,13,3
17,44,29,16,37,8
49,10,19,26,30,3
22,9,43,31,34,5
11,7,32,24,4,10
12,38,34,32,48,6
24,48,49,18,8,8
36,40,45,24,15,9
37,36,32,20,7,2
48,23,27,19,22,2
23,6,17,5,7,9
38,26,39,35,10,6
3,48,17,4,38,9
25,33,48,1,40,8
1,34,15,24,25,8
40,29,44,38,10,8
8,30,26,35,40,2
39,28,14,11,42,9
7,25,17,48,16,3
44,2,15,29,18,4
44,41,35,33,38,8
4,27,28,9,22,4
22,23,7,30,37,3
31,44,6,15,12,7
10,49,30,12,29,9
22,13,10,35,19,1
28,14,27,13,25,5
26,24,6,18,29,3
43,27,23,44,42,10
1,13,20,23,44,3
1,15,24,43,47,7
4,7,16,30,47,7
10,13,19,20,26,7
6,9,21,34,47,1
27,28,31,32,43,2
6,15,33,36,38,4
9,17,20,26,28,1
2,17,26,40,41,4
5,11,32,34,35,9
4,7,8,17,32,5
16,18,40,44,47,7
15,28,41,45,47,5
11,12,14,18,25,6
2,5,9,44,47,3
7,12,13,27,46,5
3,17,18,28,39,6
4,24,27,28,40,8
4,13,16,28,36,9
1,13,18,26,46,8
3,10,11,34,42,5
25,31,38,42,43,2
1,8,11,38,49,3
21,29,31,33,36,8
2,10,27,32,39,9
14,19,33,39,44,2
17,26,33,36,46,7
4,10,25,28,35,2
6,21,37,47,49,2
6,19,39,41,49,9
1,4,24,33,48,8
12,13,17,23,34,7
7,16,17,33,46,2
5,30,39,45,47,4
3,7,34,37,39,10
8,15,20,23,27,6
10,13,25,32,34,8
8,10,15,24,35,7
6,16,17,42,47,8
9,26,31,33,40,2
2,27,28,41,43,3
9,18,22,39,41,7
18,19,29,31,39,6
7,16,34,35,40,6
2,14,32,35,41,9
3,5,15,38,40,1
2,18,21,22,43,10
1,22,35,38,41,1
9,23,31,33,38,6
1,2,14,30,42,5
20,25,27,39,46,2
4,9,15,27,42,5
11,18,30,31,32,9
18,20,26,27,43,4
7,30,37,38,48,10
1,7,18,27,31,6
5,23,31,33,34,8
5,21,30,46,47,5
14,21,30,32,45,2
14,15,24,32,33,6
7,21,23,29,35,1
16,20,26,34,40,3
3,6,8,30,35,8
17,24,27,35,45,2
4,5,21,28,34,7
3,19,24,30,33,5
7,18,35,37,42,3
3,36,40,44,48,2
1,8,31,32,42,6
16,17,22,30,45,7
9,18,22,37,49,8
2,11,34,39,48,6
1,3,8,36,44,9
3,9,18,24,38,9
4,19,39,40,48,1
3,6,7,21,46,9
3,9,21,25,40,6
10,15,17,26,39,9
1,11,21,22,27,5
9,21,26,40,41,8
11,21,25,35,41,4
4,24,40,43,46,5
3,28,33,35,43,3
4,7,19,35,44,9
6,11,22,42,49,8
8,16,41,42,45,6
3,6,9,25,37,1
8,23,28,37,49,3
3,25,27,32,40,2
1,7,8,11,40,5
1,7,10,15,38,7
5,10,21,22,41,5
14,22,27,47,49,1
2,25,32,40,42,5
17,21,27,40,41,8
13,15,23,36,46,10
26,27,40,41,42,9
3,35,37,41,45,3
16,18,22,24,39,2
12,21,41,43,49,7
8,10,25,29,39,7
3,26,38,45,48,4
13,15,19,43,45,2
2,10,32,33,38,9
1,3,6,31,43,7
10,12,28,41,48,4
11,12,29,39,46,10
11,14,16,33,39,8
